name,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,trait,group
Pumi,38.1,46.99,9.979032140000001,13.15417873,12,13,0.2,0.2,0.8,0.8,0.6,Energetic,Herding Group
Pyrenean Mastiff,63.5,78.74,54.4310844,108.8621688,10,13,0.6,0.6,0.4,0.6,0.2,Gentle,Foundation Stock Service
Pyrenean Shepherd,38.1,53.34,6.80388555,13.6077711,17,19,0.4,0.6,0.8,0.6,0.4,Sweet,Herding Group
Rafeiro do Alentejo,63.5,73.66,34.926612490000004,59.874192840000006,12,14,0.4,0.6,0.4,1,0.2,Confident,Foundation Stock Service
Rat Terrier,25.4,45.72,4.535923700000001,11.33980925,12,18,0.4,0.6,0.6,0.8,0.8,Friendly,Terrier Group
Redbone Coonhound,53.34,68.58,20.41165665,31.751465900000003,12,15,0.4,0.6,0.6,0.8,0.8,Gentle,Hound Group
Rhodesian Ridgeback,60.96,68.58,31.751465900000003,38.55535145,10,10,0.4,0.6,0.6,0.4,0.6,Sweet,Hound Group
Romanian Mioritic Shepherd Dog,57.15,73.66,45.359237,58.9670081,12,14,0.4,0.4,0.6,0.4,0.2,Loyal,Foundation Stock Service
Rottweiler,55.88,68.58,36.287389600000004,61.23496995,9,10,0.4,0.6,0.6,0.6,0.4,Loyal,Working Group
Russell Terrier,25.4,30.48,4.082331330000001,6.80388555,12,14,0.4,0.4,1,0.6,0.8,Alert,Terrier Group
Russian Toy,20.32,27.94,2.9483504050000002,2.9483504050000002,12,14,0.4,0.2,0.6,0.6,0.8,Loyal,Miscellaneous Class
Russian Tsvetnaya Bolonka,22.86,25.4,2.0411656650000003,4.9895160700000005,12,16,0.6,0.2,0.6,0.6,0.8,Playful,Foundation Stock Service
Saint Bernard,66.04,76.2,54.4310844,81.6466266,8,10,0.4,0.6,0.6,0.6,0.8,Playful,Working Group
Saluki,58.42,71.12,18.143694800000002,29.48350405,10,17,0.2,0.4,0.8,0.4,0.4,Gentle,Hound Group
Samoyed,48.26,59.69,15.875732950000002,29.48350405,12,14,0.6,0.6,0.8,0.4,0.8,Adaptable,Working Group
Schapendoes,40.64,50.8,11.793401620000001,24.947580350000003,12,15,0.4,0.6,0.6,0.8,0.6,Friendly,Foundation Stock Service
Schipperke,25.4,33.02,4.535923700000001,7.25747792,12,14,0.4,0.6,0.8,0.4,0.6,Confident,Non-Sporting Group
Scottish Deerhound,71.12,81.28,34.01942775,49.895160700000005,8,11,0.2,0.6,0.6,0.4,0.6,Gentle,Hound Group
Scottish Terrier,25.4,25.4,8.164662660000001,9.979032140000001,12,12,0.6,0.4,0.6,0.4,0.6,Confident,Terrier Group
Sealyham Terrier,26.67,26.67,10.43262451,10.886216880000001,12,14,0.6,0.6,0.6,0.4,0.6,Alert,Terrier Group
Segugio Italiano,48.26,58.42,18.143694800000002,27.2155422,11,13,0.4,0.6,0.6,1,0.2,Friendly,Foundation Stock Service
Shetland Sheepdog,33.02,40.64,6.80388555,11.33980925,12,14,0.6,0.6,0.6,1,0.4,Playful,Herding Group
Shiba Inu,34.29,41.910000000000004,7.71107029,10.43262451,13,16,0.4,0.6,0.6,0.4,0.4,Alert,Non-Sporting Group
Shih Tzu,22.86,26.67,4.082331330000001,7.25747792,10,18,0.8,0.2,0.6,0.6,0.8,Sweet,Toy Group
Shikoku,43.18,55.88,15.875732950000002,24.947580350000003,10,12,0.4,0.6,0.6,0.6,0.6,Energetic,Foundation Stock Service
Siberian Husky,50.8,59.69,15.875732950000002,27.2155422,12,14,0.4,0.6,0.8,0.4,0.8,Loyal,Working Group
Silky Terrier,22.86,25.4,4.535923700000001,4.535923700000001,13,15,0.6,0.4,0.6,0.6,0.6,Friendly,Toy Group
Skye Terrier,24.13,25.4,15.875732950000002,20.41165665,12,14,0.8,0.6,0.6,0.4,0.4,Courageous,Terrier Group
Sloughi,60.96,73.66,15.875732950000002,22.6796185,10,15,0.4,0.2,0.6,0.4,0.4,Independent,Hound Group
Slovakian Wirehaired Pointer,57.15,67.31,22.6796185,29.48350405,12,15,0.2,0.4,0.8,0.4,1,Smart,Foundation Stock Service
Slovensky Cuvac,58.42,69.85,30.84428116,43.99845989,11,13,0.4,0.8,0.4,0.6,0.2,Courageous,Foundation Stock Service
Slovensky Kopov,40.64,50.8,14.968548210000002,19.958064280000002,12,13,0.2,0.6,0.6,0.8,0.6,Courageous,Foundation Stock Service
Small Munsterlander Pointer,52.07,53.34,18.143694800000002,27.2155422,12,14,0.2,0.6,1,0.6,0.8,Smart,Foundation Stock Service
Smooth Fox Terrier,38.1,38.1,6.80388555,8.164662660000001,12,15,0.4,0.4,0.8,0.6,0.8,Friendly,Terrier Group
Soft Coated Wheaten Terrier,43.18,48.26,13.6077711,18.143694800000002,12,14,0.6,0.2,0.8,0.4,0.6,Friendly,Terrier Group
Spanish Mastiff,71.12,88.9,63.502931800000006,90.718474,10,12,0.2,0.6,0.4,0.6,0.2,Sweet,Foundation Stock Service
Spanish Water Dog,40.005,50.165,14.06136347,22.22602613,12,14,1,0.2,0.8,1,0.4,Energetic,Herding Group
Spinone Italiano,55.88,68.58,32,37,10,12,0.4,0.6,0.8,0.6,0.6,Friendly,Sporting Group
Stabyhoun,48.26,53.34,18.143694800000002,27.2155422,13,15,0.2,0.6,0.8,0.8,0.6,Smart,Foundation Stock Service
Staffordshire Bull Terrier,35.56,40.64,10.886216880000001,17.23651006,12,14,0.4,0.4,0.8,0.2,0.8,Smart,Terrier Group
Standard Schnauzer,44.45,49.53,13.6077711,22.6796185,13,16,0.6,0.2,0.6,0.4,0.8,Courageous,Working Group
Sussex Spaniel,33.02,38.1,15.875732950000002,20.41165665,13,15,0.6,0.6,0.6,0.4,0.4,Friendly,Sporting Group
Swedish Lapphund,40.64,50.8,13.6077711,20.41165665,12,14,0.4,0.6,0.6,0.2,0.6,Playful,Foundation Stock Service
Swedish Vallhund,29.21,34.925,9.071847400000001,15.875732950000002,12,15,0.2,0.6,1,1,0.8,Friendly,Herding Group
Taiwan Dog,43.18,50.8,11.793401620000001,18.143694800000002,9,13,0.4,0.6,1,0.8,0.4,Loyal,Foundation Stock Service
Teddy Roosevelt Terrier,20.32,38.1,3.62873896,11.33980925,14,16,0.4,0.6,0.8,1,0.8,Playful,Miscellaneous Class
Thai Ridgeback,50.8,60.96,15.875732950000002,34.01942775,12,13,0.2,0.6,0.8,0.4,0.4,Loyal,Foundation Stock Service
Tibetan Mastiff,60.96,66.04,31.751465900000003,68.0388555,10,12,0.6,0.6,0.6,0.4,0.6,Independent,Working Group
Tibetan Spaniel,25.4,25.4,4.082331330000001,6.80388555,12,15,0.4,0.6,0.4,0.6,0.6,Playful,Non-Sporting Group
Tibetan Terrier,35.56,43.18,8.164662660000001,13.6077711,15,16,0.6,0.6,0.8,0.4,0.4,Sweet,Non-Sporting Group
Tornjak,58.42,71.12,28.12272694,49.895160700000005,12,14,0.4,0.8,0.6,0.6,0.6,Friendly,Foundation Stock Service
Tosa,54.61,59.69,45.359237,90.718474,10,12,0.2,0.4,0.4,0.6,0.4,Courageous,Foundation Stock Service
Toy Fox Terrier,21.59,29.21,1.587573295,3.17514659,13,15,0.4,0.4,0.8,1,0.8,Friendly,Toy Group
Transylvanian Hound,55.88,66.04,24.947580350000003,24.947580350000003,10,14,0.4,0.6,1,0.2,0.2,Courageous,Foundation Stock Service
Treeing Tennessee Brindle,40.64,60.96,13.6077711,22.6796185,10,12,0.4,0.4,0.6,0.6,0.6,Friendly,Foundation Stock Service
Treeing Walker Coonhound,50.8,68.58,22.6796185,31.751465900000003,12,13,0.2,0.6,0.6,0.4,0.8,Smart,Hound Group
Vizsla,53.34,60.96,19.958064280000002,27.2155422,12,14,0.4,0.6,0.8,1,0.8,Sweet,Sporting Group
Weimaraner,58.42,68.58,24.947580350000003,40.8233133,10,13,0.4,0.6,1,1,0.8,Friendly,Sporting Group
Welsh Springer Spaniel,43.18,48.26,15.875732950000002,24.947580350000003,12,15,0.4,0.6,0.8,0.8,0.8,Friendly,Sporting Group
Welsh Terrier,38.1,38.1,9.071847400000001,9.071847400000001,12,15,0.6,0.4,0.8,0.6,1,Friendly,Terrier Group
West Highland White Terrier,25.4,27.94,6.80388555,9.071847400000001,13,15,0.8,0.6,0.6,0.6,0.8,Loyal,Terrier Group
Wetterhoun,12.7,58.42,22.6796185,34.01942775,13,13,0.2,0.4,0.6,0.2,0.4,Loyal,Foundation Stock Service
Whippet,45.72,55.88,11.33980925,18.143694800000002,12,15,0.2,0.4,0.6,0.4,0.4,Sweet,Hound Group
Wire Fox Terrier,38.1,38.1,6.80388555,8.164662660000001,12,15,0.4,0.2,0.6,0.6,0.6,Confident,Terrier Group
Wirehaired Pointing Griffon,50.8,60.96,15.875732950000002,31.751465900000003,12,15,0.4,0.6,1,0.6,0.6,Friendly,Sporting Group
Wirehaired Vizsla,54.61,63.5,20.41165665,29.48350405,12,14,0.2,0.6,0.8,0.6,0.6,Gentle,Sporting Group
Working Kelpie,48.26,63.5,12.70058636,27.2155422,12,15,0.2,0.6,0.8,0.4,0.6,Alert,Foundation Stock Service
Xoloitzcuintli,25.4,58.42,4.535923700000001,24.947580350000003,13,18,0.2,0.2,0.8,0.6,0.6,Loyal,Non-Sporting Group
Yakutian Laika,53.34,58.42,18.143694800000002,24.947580350000003,10,12,0.4,0.6,0.8,0.2,0.4,Sweet,Foundation Stock Service
Yorkshire Terrier,17.78,20.32,3.17514659,3.17514659,11,15,1,0.2,0.6,0.2,0.8,Sweet,Toy Group
